
Disease,Language Code,Description
allergy,en,"An allergy is an overreaction of the immune system to substances (allergens) that are typically harmless, such as pollen, dust, certain foods, or animal dander. Allergies can cause a range of symptoms, from mild irritation to severe reactions like anaphylaxis.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Pollen:</b></em> Seasonal allergies triggered by trees, grasses, or weeds.<br>
- <em><b>Dust and Mold:</b></em> Inhalation of dust mites or mold spores.<br>
- <em><b>Food Allergens:</b></em> Common triggers include peanuts, shellfish, milk, and eggs.<br>
- <em><b>Insect Stings:</b></em> Bee or wasp stings can cause localized or systemic reactions.<br>
- <em><b>Medications:</b></em> Some drugs, such as penicillin, can induce allergic responses.<br>
- <em><b>Animal Dander:</b></em> Proteins in pet skin flakes, saliva, or urine.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Avoid Allergens:</b></em> Identify and minimize exposure to known triggers.<br>
- <em><b>Use Air Purifiers:</b></em> Helps reduce airborne allergens indoors.<br>
- <em><b>Protective Gear:</b></em> Wear masks and gloves when exposed to potential allergens.<br>
- <em><b>Regular Cleaning:</b></em> Vacuum and dust frequently to remove allergens.<br>
- <em><b>Keep Windows Closed:</b></em> During high pollen seasons.<br>
- <em><b>Carry Emergency Medication:</b></em> Epinephrine auto-injectors for severe allergies.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Steam Inhalation:</b></em> Helps relieve nasal congestion.<br>
- <em><b>Saline Rinse:</b></em> Clears nasal passages and removes allergens.<br>
- <em><b>Honey:</b></em> Consuming local honey may help with pollen allergies over time.<br>
- <em><b>Green Tea:</b></em> Contains natural antihistamines to reduce symptoms.<br>
- <em><b>Essential Oils:</b></em> Eucalyptus or peppermint oil for relief from respiratory discomfort.<br>
- <em><b>Probiotics:</b></em> Supports gut health, potentially reducing allergic responses.<br>"
allergy,te,"<strong>అలెర్జీ:</strong> పుప్పొడి, ధూళి, కొన్ని ఆహారాలు లేదా జంతువుల చుండ్రు వంటి సాధారణంగా హాని చేయని పదార్థాలకు (అలెర్జీ కారకాలు) రోగనిరోధక వ్యవస్థ యొక్క అతిగా ప్రతిచర్యను అలెర్జీ అంటారు. తేలికపాటి చికాకు నుండి అనాఫిలాక్సిస్ వంటి తీవ్రమైన ప్రతిచర్యల వరకు లక్షణాల శ్రేణి.<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>పుప్పొడి:</b></em> చెట్లు, గడ్డి లేదా కలుపు మొక్కల వల్ల కలిగే కాలానుగుణ అలెర్జీలు.<br>
- <em><b>దుమ్ము మరియు అచ్చు:</b></em> దుమ్ము పురుగులు లేదా అచ్చు బీజాంశాలను పీల్చడం.<br>
- <em><b>ఆహార అలెర్జీ కారకాలు:</b></em> సాధారణ ట్రిగ్గర్‌లలో వేరుశెనగ, షెల్ఫిష్, పాలు మరియు గుడ్లు ఉంటాయి.<br>
- <em><b>కీటకాలు కుట్టడం:</b></em> తేనెటీగ లేదా కందిరీగ కుట్టడం స్థానికీకరించిన లేదా దైహిక ప్రతిచర్యలకు కారణం కావచ్చు.<br>
- <em><b>మందులు:</b></em> పెన్సిలిన్ వంటి కొన్ని మందులు అలెర్జీ ప్రతిస్పందనలను ప్రేరేపించగలవు.<br>
- <em><b>జంతు చుండ్రు:</b></em> పెంపుడు జంతువుల చర్మం పొరలు, లాలాజలం లేదా మూత్రంలో ప్రోటీన్లు.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>అలెర్జీ కారకాలను నివారించండి:</b></em> తెలిసిన ట్రిగ్గర్‌లకు గురికావడాన్ని గుర్తించండి మరియు తగ్గించండి.<br>
- <em><b>ఎయిర్ ప్యూరిఫైయర్‌లను ఉపయోగించండి:</b></em> ఇంటి లోపల గాలిలో వచ్చే అలర్జీలను తగ్గించడంలో సహాయపడుతుంది.<br>
- <em><b>రక్షిత గేర్:</b></em> సంభావ్య అలెర్జీ కారకాలకు గురైనప్పుడు ముసుగులు మరియు చేతి తొడుగులు ధరించండి.<br>
- <em><b>రెగ్యులర్ క్లీనింగ్:</b></em> అలెర్జీ కారకాలను తొలగించడానికి తరచుగా వాక్యూమ్ మరియు దుమ్ము.<br>
- <em><b>Windowsను మూసి ఉంచండి:</b></em> అధిక పుప్పొడి సీజన్లలో.<br>
- <em><b>అత్యవసర మందులను తీసుకెళ్లండి:</b></em> తీవ్రమైన అలెర్జీల కోసం ఎపినెఫ్రిన్ ఆటో-ఇంజెక్టర్లు.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>ఆవిరి పీల్చడం:</b></em> నాసికా రద్దీని తగ్గించడంలో సహాయపడుతుంది.<br>
- <em><b>సెలైన్ రిన్స్:</b></em> నాసికా భాగాలను క్లియర్ చేస్తుంది మరియు అలెర్జీ కారకాలను తొలగిస్తుంది.<br>
- <em><b>తేనె:</b></em> స్థానిక తేనెను తీసుకోవడం వల్ల కాలక్రమేణా పుప్పొడి అలెర్జీలకు సహాయపడవచ్చు.<br>
- <em><b>గ్రీన్ టీ:</b></em> లక్షణాలను తగ్గించడానికి సహజ యాంటిహిస్టామైన్‌లను కలిగి ఉంటుంది.<br>
- <em><b>ముఖ్యమైన నూనెలు:</b></em> శ్వాసకోశ అసౌకర్యం నుండి ఉపశమనం కోసం యూకలిప్టస్ లేదా పిప్పరమెంటు నూనె.<br>
- <em><b>ప్రోబయోటిక్స్:</b></em> పేగు ఆరోగ్యానికి మద్దతునిస్తుంది, అలెర్జీ ప్రతిస్పందనలను సమర్థవంతంగా తగ్గిస్తుంది.<br>"
allergy,ta,"<strong>ஒவ்வாமை:</strong> ஒரு ஒவ்வாமை என்பது மகரந்தம், தூசி, சில உணவுகள் அல்லது விலங்குகளின் பொடுகு போன்ற பொதுவாக பாதிப்பில்லாத பொருட்களுக்கு (ஒவ்வாமை) நோய் எதிர்ப்பு மண்டலத்தின் அதிகப்படியான எதிர்வினை ஆகும். லேசான எரிச்சல் முதல் அனாபிலாக்ஸிஸ் போன்ற கடுமையான எதிர்வினைகள் வரையிலான அறிகுறிகளின் வரம்பு.<br><br>

<strong>காரணங்கள்</strong><br><br>
- <em><b>மகரந்தம்:</b></em> மரங்கள், புற்கள் அல்லது களைகளால் தூண்டப்படும் பருவகால ஒவ்வாமை.<br>
- <em><b>தூசி மற்றும் அச்சு:</b></em> தூசிப் பூச்சிகள் அல்லது அச்சு வித்திகளை உள்ளிழுத்தல்.<br>
- <em><b>உணவு ஒவ்வாமை:</b></em> பொதுவான தூண்டுதல்களில் வேர்க்கடலை, மட்டி, பால் மற்றும் முட்டை ஆகியவை அடங்கும்.<br>
- <em><b>பூச்சிக் கடி:</b></em> தேனீ அல்லது குளவி கொட்டினால் உள்ளூர் அல்லது அமைப்பு ரீதியான எதிர்வினைகள் ஏற்படலாம்.<br>
- <em><b>மருந்துகள்:</b></em> பென்சிலின் போன்ற சில மருந்துகள் ஒவ்வாமை எதிர்வினைகளைத் தூண்டலாம்.<br>
- <em><b>விலங்குகளின் பொடுகு:</b></em> செல்லப்பிராணியின் தோல் செதில்கள், உமிழ்நீர் அல்லது சிறுநீரில் உள்ள புரதங்கள்.<br><br>

<strong>முன்னெச்சரிக்கைகள்</strong><br><br>
- <em><b>ஒவ்வாமைகளைத் தவிர்க்கவும்:</b></em> அறியப்பட்ட தூண்டுதல்களின் வெளிப்பாட்டைக் கண்டறிந்து குறைக்கவும்.<br>
- <em><b>காற்று சுத்திகரிப்பாளர்களைப் பயன்படுத்தவும்:</b></em> உட்புறத்தில் காற்றில் பரவும் ஒவ்வாமைகளைக் குறைக்க உதவுகிறது.<br>
- <em><b>பாதுகாப்பு கியர்:</b></em> சாத்தியமான ஒவ்வாமைகளை வெளிப்படுத்தும் போது முகமூடிகள் மற்றும் கையுறைகளை அணியுங்கள்.<br>
- <em><b>வழக்கமான சுத்தம்:</b></em> ஒவ்வாமைகளை நீக்க அடிக்கடி வெற்றிடமும் தூசும்.<br>
- <em><b>விண்டோஸை மூடி வைக்கவும்:</b></em> அதிக மகரந்தப் பருவங்களில்.<br>
- <em><b>அவசர மருந்துகளை எடுத்துச் செல்லுங்கள்:</b></em> கடுமையான ஒவ்வாமைக்கான எபிநெஃப்ரின் ஆட்டோ-இன்ஜெக்டர்கள்.<br><br>

<strong>வீட்டு வைத்தியம்</strong><br><br>
- <em><b>நீராவி உள்ளிழுத்தல்:</b></em> நாசி நெரிசலைப் போக்க உதவுகிறது.<br>
- <em><b>உப்பு துவைக்க:</b></em> நாசிப் பாதைகளை அழிக்கிறது மற்றும் ஒவ்வாமைகளை நீக்குகிறது.<br>
- <em><b>தேன்:</b></em> உள்ளூர் தேனை உட்கொள்வது காலப்போக்கில் மகரந்த ஒவ்வாமைக்கு உதவலாம்.<br>
- <em><b>கிரீன் டீ:</b></em> அறிகுறிகளைக் குறைக்க இயற்கை ஆண்டிஹிஸ்டமின்கள் உள்ளன.<br>
- <em><b>அத்தியாவசிய எண்ணெய்கள்:</b></em> யூகலிப்டஸ் அல்லது மிளகுக்கீரை எண்ணெய் சுவாசக் கோளாறுகளில் இருந்து நிவாரணம்.<br>
- <em><b>ப்ரோபயாடிக்குகள்:</b></em> குடல் ஆரோக்கியத்தை ஆதரிக்கிறது, ஒவ்வாமை எதிர்வினைகளைக் குறைக்கும்.<br>"
allergy,hi,"<strong>एलर्जी:</strong> एलर्जी प्रतिरक्षा प्रणाली की उन पदार्थों (एलर्जी) के प्रति अति प्रतिक्रिया है जो आम तौर पर हानिरहित होते हैं, जैसे पराग, धूल, कुछ खाद्य पदार्थ या जानवरों की रूसी। एलर्जी हल्के जलन से लेकर एनाफिलेक्सिस जैसी गंभीर प्रतिक्रियाओं तक कई तरह के लक्षण पैदा कर सकती है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>पराग:</b></em> पेड़ों, घास या खरपतवारों से होने वाली मौसमी एलर्जी।<br>
- <em><b>धूल और फफूंद:</b></em> धूल के कण या फफूंद के बीजाणुओं का साँस के ज़रिए शरीर में जाना।<br>
- <em><b>खाद्य पदार्थ:</b></em> आम ट्रिगर में मूंगफली, शंख, दूध और अंडे शामिल हैं।<br>
- <em><b>कीट डंक:</b></em> मधुमक्खी या ततैया के डंक से स्थानीय या प्रणालीगत प्रतिक्रियाएँ हो सकती हैं।<br>
- <em><b>दवाएँ:</b></em> कुछ दवाएँ, जैसे कि पेनिसिलिन, एलर्जी प्रतिक्रियाएँ उत्पन्न कर सकती हैं।<br>
- <em><b>पशुओं की रूसी:</b></em> पालतू जानवरों की त्वचा के गुच्छे, लार या मूत्र में प्रोटीन।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>एलर्जी से बचें:</b></em> ज्ञात ट्रिगर्स की पहचान करें और उनके संपर्क को कम से कम करें।<br>
- <em><b>एयर प्यूरीफायर का उपयोग करें:</b></em> घर के अंदर हवा में मौजूद एलर्जी को कम करने में मदद करता है।<br>
- <em><b>सुरक्षात्मक गियर:</b></em> संभावित एलर्जी के संपर्क में आने पर मास्क और दस्ताने पहनें।<br>
- <em><b>नियमित सफाई:</b></em> एलर्जी को दूर करने के लिए अक्सर वैक्यूम करें और धूल साफ करें।<br>
- <em><b>खिड़कियाँ बंद रखें:</b></em> उच्च पराग के मौसम के दौरान।<br>
- <em><b>आपातकालीन दवा साथ रखें:</b></em> गंभीर एलर्जी के लिए एपिनेफ्रीन ऑटो-इंजेक्टर।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>भाप लेना:</b></em> नाक की भीड़ को दूर करने में मदद करता है।<br>
- <em><b>खारे पानी से कुल्ला:</b></em> नाक के मार्ग को साफ करता है और एलर्जी को दूर करता है।<br>
- <em><b>शहद:</b></em> स्थानीय शहद का सेवन समय के साथ पराग एलर्जी में मदद कर सकता है।<br>
- <em><b>ग्रीन टी:</b></em> इसमें लक्षणों को कम करने के लिए प्राकृतिक एंटीहिस्टामाइन होते हैं।<br>
- <em><b>आवश्यक तेल:</b></em> सांस संबंधी तकलीफ से राहत के लिए नीलगिरी या पुदीना का तेल।<br>
- <em><b>प्रोबायोटिक्स:</b></em> आंत के स्वास्थ्य का समर्थन करता है, संभावित रूप से एलर्जी प्रतिक्रियाओं को कम करता है।<br>"
heart attack,en," A heart attack, medically known as myocardial infarction, occurs when blood flow to the heart muscle is blocked, leading to damage or death of the heart tissue. It is a medical emergency requiring immediate attention.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Coronary Artery Disease:</b></em> Narrowing or blockage of the coronary arteries by plaque buildup.<br>
- <em><b>Blood Clots:</b></em> Formation of clots that obstruct blood flow to the heart.<br>
- <em><b>Spasms:</b></em> Sudden tightening or spasms in a coronary artery.<br>
- <em><b>High Cholesterol:</b></em> Leads to plaque formation in arteries.<br>
- <em><b>Hypertension:</b></em> Consistently high blood pressure puts strain on the heart.<br>
- <em><b>Lifestyle Factors:</b></em> Smoking, obesity, and lack of physical activity.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Healthy Diet:</b></em> Consume fruits, vegetables, whole grains, and lean proteins while reducing saturated fats and salt.<br>
- <em><b>Regular Exercise:</b></em> Engage in at least 30 minutes of moderate physical activity daily.<br>
- <em><b>Avoid Smoking:</b></em> Smoking significantly increases heart attack risk.<br>
- <em><b>Manage Stress:</b></em> Practice relaxation techniques like meditation and yoga.<br>
- <em><b>Control Blood Pressure:</b></em> Regular monitoring and medication if prescribed.<br>
- <em><b>Limit Alcohol:</b></em> Avoid excessive alcohol consumption.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Garlic:</b></em> May help reduce cholesterol and blood pressure.<br>
- <em><b>Turmeric Milk:</b></em> Contains anti-inflammatory properties that may support heart health.<br>
- <em><b>Green Tea:</b></em> Rich in antioxidants that promote cardiovascular health.<br>
- <em><b>Adequate Rest:</b></em> Ensure proper sleep to reduce stress on the heart.<br>
- <em><b>Omega-3 Fatty Acids:</b></em> Found in fish or flaxseed, these support heart function.<br>
- <em><b>Herbal Teas:</b></em> Hawthorn or hibiscus tea may improve circulation and heart function.<br>"
heart attack,hi,"<strong>हार्ट अटैक:</strong> हार्ट अटैक, जिसे चिकित्सकीय भाषा में मायोकार्डियल इंफार्क्शन के नाम से जाना जाता है, तब होता है जब हृदय की मांसपेशियों में रक्त का प्रवाह अवरुद्ध हो जाता है, जिससे हृदय के ऊतकों को नुकसान पहुंचता है या उनकी मृत्यु हो जाती है। यह एक चिकित्सा आपातकाल है जिस पर तुरंत ध्यान देने की आवश्यकता होती है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>कोरोनरी धमनी रोग:</b></em> प्लाक के निर्माण से कोरोनरी धमनियों का संकुचित या अवरुद्ध होना।<br>
- <em><b>रक्त के थक्के:</b></em> थक्कों का बनना जो हृदय में रक्त के प्रवाह को बाधित करते हैं।<br>
- <em><b>ऐंठन:</b></em> कोरोनरी धमनी में अचानक कसाव या ऐंठन।<br>
- <em><b>उच्च कोलेस्ट्रॉल:</b></em> प्लाक के निर्माण की ओर ले जाता है धमनियाँ।<br>
- <em><b>उच्च रक्तचाप:</b></em> लगातार उच्च रक्तचाप हृदय पर दबाव डालता है।<br>
- <em><b>जीवनशैली कारक:</b></em> धूम्रपान, मोटापा और शारीरिक गतिविधि की कमी।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>स्वस्थ आहार:</b></em> संतृप्त वसा और नमक को कम करते हुए फल, सब्जियाँ, साबुत अनाज और लीन प्रोटीन का सेवन करें।<br>
- <em><b>नियमित व्यायाम:</b></em> प्रतिदिन कम से कम 30 मिनट मध्यम शारीरिक गतिविधि करें।<br>
- <em><b>धूम्रपान से बचें:</b></em> धूम्रपान से दिल के दौरे का जोखिम काफी बढ़ जाता है।<br>
- <em><b>प्रबंधन करें तनाव:</b></em> ध्यान और योग जैसी विश्राम तकनीकों का अभ्यास करें।<br>
- <em><b>रक्तचाप को नियंत्रित करें:</b></em> नियमित निगरानी और यदि निर्धारित हो तो दवा लें।<br>
- <em><b>शराब सीमित करें:</b></em> अत्यधिक शराब के सेवन से बचें।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>लहसुन:</b></em> कोलेस्ट्रॉल और रक्तचाप को कम करने में मदद कर सकता है।<br>
- <em><b>हल्दी वाला दूध:</b></em> इसमें सूजनरोधी गुण होते हैं जो हृदय स्वास्थ्य का समर्थन कर सकते हैं।<br>
- <em><b>ग्रीन टी:</b></em> एंटीऑक्सीडेंट से भरपूर जो हृदय स्वास्थ्य को बढ़ावा देता है।<br>
- <em><b>पर्याप्त आराम:</b></em> हृदय पर तनाव कम करने के लिए उचित नींद सुनिश्चित करें।<br>
- <em><b>ओमेगा-3 फैटी एसिड:</b></em> मछली या अलसी में पाए जाने वाले ये एसिड हृदय की कार्यप्रणाली को बेहतर बनाते हैं।<br>
- <em><b>हर्बल चाय:</b></em> नागफनी या हिबिस्कस चाय रक्त संचार और हृदय की कार्यप्रणाली में सुधार ला सकती है।<br>"
heart attack,te,"<strong>గుండెపోటు:</strong> గుండెపోటు, వైద్యపరంగా మయోకార్డియల్ ఇన్‌ఫార్క్షన్ అని పిలుస్తారు, గుండె కండరానికి రక్తప్రసరణ నిరోధించబడినప్పుడు గుండె కణజాలం దెబ్బతింటుంది లేదా మరణిస్తుంది. ఇది వైద్యశాస్త్రం. తక్షణ శ్రద్ధ అవసరం.<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>కరోనరీ ఆర్టరీ డిసీజ్:</b></em> ప్లాక్ బిల్డప్ ద్వారా కొరోనరీ ధమనులను తగ్గించడం లేదా అడ్డుకోవడం.<br>
- <em><b>రక్తం గడ్డకట్టడం:</b></em> గుండెకు రక్త ప్రవాహానికి ఆటంకం కలిగించే గడ్డలు ఏర్పడటం.<br>
- <em><b>స్పాస్‌లు:</b></em> కరోనరీ ఆర్టరీలో ఆకస్మిక బిగుతు లేదా దుస్సంకోచాలు.<br>
- <em><b>అధిక కొలెస్ట్రాల్:</b></em> ధమనులలో ఫలకం ఏర్పడటానికి దారితీస్తుంది.<br>
- <em><b>రక్తపోటు:</b></em> స్థిరంగా అధిక రక్తపోటు గుండెపై ఒత్తిడిని కలిగిస్తుంది.<br>
- <em><b>జీవనశైలి కారకాలు:</b></em> ధూమపానం, ఊబకాయం మరియు శారీరక శ్రమ లేకపోవడం.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>ఆరోగ్యకరమైన ఆహారం:</b></em> సంతృప్త కొవ్వులు మరియు ఉప్పును తగ్గించేటప్పుడు పండ్లు, కూరగాయలు, తృణధాన్యాలు మరియు లీన్ ప్రొటీన్‌లను తీసుకోండి.<br>
- <em><b>క్రమబద్ధమైన వ్యాయామం:</b></em> రోజూ కనీసం 30 నిమిషాల మితమైన శారీరక శ్రమలో పాల్గొనండి.<br>
- <em><b>ధూమపానం మానుకోండి:</b></em> ధూమపానం గుండెపోటు ప్రమాదాన్ని గణనీయంగా పెంచుతుంది.<br>
- <em><b>ఒత్తిడిని నిర్వహించండి:</b></em> ధ్యానం మరియు యోగా వంటి విశ్రాంతి పద్ధతులను ప్రాక్టీస్ చేయండి.<br>
- <em><b>రక్తపోటును నియంత్రించండి:</b></em> క్రమమైన పర్యవేక్షణ మరియు సూచించినట్లయితే మందులు.<br>
- <em><b>మద్యం పరిమితి:</b></em> అధిక ఆల్కహాల్ వినియోగాన్ని నివారించండి.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>వెల్లుల్లి:</b></em> కొలెస్ట్రాల్ మరియు రక్తపోటును తగ్గించడంలో సహాయపడవచ్చు.<br>
- <em><b>పసుపు పాలు:</b></em> గుండె ఆరోగ్యానికి తోడ్పడే యాంటీ ఇన్‌ఫ్లమేటరీ లక్షణాలను కలిగి ఉంది.<br>
- <em><b>గ్రీన్ టీ:</b></em> హృదయ ఆరోగ్యాన్ని ప్రోత్సహించే యాంటీ ఆక్సిడెంట్లు పుష్కలంగా ఉన్నాయి.<br>
- <em><b>తగినంత విశ్రాంతి:</b></em> గుండెపై ఒత్తిడిని తగ్గించడానికి సరైన నిద్ర ఉండేలా చూసుకోండి.<br>
- <em><b>ఒమేగా-3 ఫ్యాటీ యాసిడ్స్:</b></em> చేపలు లేదా అవిసె గింజల్లో కనిపిస్తాయి, ఇవి గుండె పనితీరుకు మద్దతు ఇస్తాయి.<br>
- <em><b>హెర్బల్ టీలు:</b></em> హౌథ్రోన్ లేదా మందార టీ రక్తప్రసరణ మరియు గుండె పనితీరును మెరుగుపరుస్తుంది.<br>"
heart attack,ta,"<strong>மாரடைப்பு:</strong> மாரடைப்பு, மருத்துவ ரீதியாக மாரடைப்பு என்று அழைக்கப்படுகிறது, இது இதய தசைக்கு இரத்த ஓட்டம் தடைபடும் போது ஏற்படுகிறது, இது இதய திசுக்களின் சேதம் அல்லது இறப்புக்கு வழிவகுக்கும். இது ஒரு மருத்துவமாகும். அவசரநிலைக்கு உடனடி கவனம் தேவை.<br><br>

<strong>காரணங்கள்</strong><br><br>
- <em><b>கரோனரி தமனி நோய்:</b></em> கரோனரி தமனிகளின் சுருக்கம் அல்லது அடைப்பு.
- <em><b>இரத்தக் கட்டிகள்:</b></em> இதயத்திற்கு இரத்த ஓட்டத்தைத் தடுக்கும் உறைவு உருவாக்கம்.<br>
- <em><b>பிடிப்பு:</b></em> கரோனரி தமனியில் திடீரென இறுக்கம் அல்லது பிடிப்பு.<br>
- <em><b>அதிக கொழுப்பு:</b></em> தமனிகளில் பிளேக் உருவாவதற்கு வழிவகுக்கிறது.<br>
- <em><b>உயர் இரத்த அழுத்தம்:</b></em> தொடர்ந்து உயர் இரத்த அழுத்தம் இதயத்தில் அழுத்தத்தை ஏற்படுத்துகிறது.<br>
- <em><b>வாழ்க்கை முறை காரணிகள்:</b></em> புகைபிடித்தல், உடல் பருமன் மற்றும் உடல் செயல்பாடு இல்லாமை.<br><br>

<strong>முன்னெச்சரிக்கைகள்</strong><br><br>
- <em><b>ஆரோக்கியமான உணவு:</b></em> நிறைவுற்ற கொழுப்புகள் மற்றும் உப்பைக் குறைக்கும் போது பழங்கள், காய்கறிகள், முழு தானியங்கள் மற்றும் மெலிந்த புரதங்களை உட்கொள்ளுங்கள்.<br>
- <em><b>வழக்கமான உடற்பயிற்சி:</b></em> தினமும் குறைந்தது 30 நிமிடம் மிதமான உடல் செயல்பாடுகளில் ஈடுபடுங்கள்.<br>
- <em><b>புகைபிடிப்பதைத் தவிர்க்கவும்:</b></em> புகைபிடித்தல் மாரடைப்பு அபாயத்தை கணிசமாக அதிகரிக்கிறது.<br>
- <em><b>மன அழுத்தத்தை நிர்வகித்தல்:</b></em> தியானம் மற்றும் யோகா போன்ற தளர்வு நுட்பங்களைப் பயிற்சி செய்யுங்கள்.<br>
- <em><b>இரத்த அழுத்தத்தைக் கட்டுப்படுத்துதல்:</b></em> வழக்கமான கண்காணிப்பு மற்றும் பரிந்துரைக்கப்பட்டால் மருந்து.<br>
- <em><b>ஆல்கஹால் வரம்பு:</b></em> அளவுக்கு அதிகமாக மது அருந்துவதை தவிர்க்கவும்.<br><br>

<strong>வீட்டு வைத்தியம்</strong><br><br>
- <em><b>பூண்டு:</b></em> கொலஸ்ட்ரால் மற்றும் இரத்த அழுத்தத்தைக் குறைக்க உதவும்.<br>
- <em><b>மஞ்சள் பால்:</b></em> இதய ஆரோக்கியத்தை ஆதரிக்கக்கூடிய அழற்சி எதிர்ப்பு பண்புகள் உள்ளன.<br>
- <em><b>கிரீன் டீ:</b></em> இதய ஆரோக்கியத்தை மேம்படுத்தும் ஆக்ஸிஜனேற்றங்கள் நிறைந்துள்ளன.<br>
- <em><b>போதுமான ஓய்வு:</b></em> இதயத்தின் அழுத்தத்தைக் குறைக்க சரியான தூக்கத்தை உறுதிசெய்யவும்.<br>
- <em><b>ஒமேகா-3 கொழுப்பு அமிலங்கள்:</b></em> மீன் அல்லது ஆளிவிதையில் காணப்படும், இவை இதய செயல்பாட்டை ஆதரிக்கின்றன.<br>
- <em><b>மூலிகை டீஸ்:</b></em> ஹாவ்தோர்ன் அல்லது ஹைபிஸ்கஸ் தேநீர் இரத்த ஓட்டம் மற்றும் இதய செயல்பாட்டை மேம்படுத்தலாம்.<br>"
gastritis,en," Gastritis refers to the inflammation of the stomach lining, which can cause discomfort, nausea, and digestive issues. It can be acute or chronic, depending on the cause and duration.<br><br>

<strong>Causes</strong><br><br>
- <em><b>H. Pylori Infection:</b></em> A common bacterial infection causing stomach inflammation.<br>
- <em><b>Excessive Alcohol:</b></em> Irritates and erodes the stomach lining.<br>
- <em><b>Overuse of NSAIDs:</b></em> Prolonged use of painkillers like aspirin and ibuprofen.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Healthy Diet:</b></em> Avoid spicy, acidic, and fried foods.<br>
- <em><b>Limit Alcohol:</b></em> Avoid excessive consumption.<br>
- <em><b>Reduce Stress:</b></em> Practice relaxation techniques like yoga or meditation.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Ginger Tea:</b></em> Reduces inflammation and soothes the stomach.<br>
- <em><b>Probiotics:</b></em> Improve gut health and digestion.<br>
- <em><b>Chamomile Tea:</b></em> Helps reduce inflammation and promotes relaxation.<br>"

dengue,en," Dengue fever is a mosquito-borne viral infection caused by the dengue virus. It can lead to high fever, severe headache, joint pain, and a characteristic rash. Severe dengue can cause life-threatening complications.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Mosquito Bite:</b></em> Spread by Aedes aegypti and Aedes albopictus mosquitoes.<br>
- <em><b>Infected Person:</b></em> Mosquitoes transmitting the virus after biting an infected individual.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Use Mosquito Nets:</b></em> While sleeping to prevent bites.<br>
- <em><b>Eliminate Breeding Grounds:</b></em> Empty stagnant water in and around homes.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Stay Hydrated:</b></em> Drink water, ORS, and juices to prevent dehydration.<br>
- <em><b>Papaya Leaf Extract:</b></em> Believed to boost platelet count.<br>
- <em><b>Coconut Water:</b></em> Restores electrolytes and prevents dehydration.<br>"

malaria,en," Malaria is a life-threatening disease caused by Plasmodium parasites, transmitted through the bites of infected Anopheles mosquitoes.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Mosquito Bite:</b></em> Transmitted through infected Anopheles mosquitoes.<br>
- <em><b>Plasmodium Parasites:</b></em> Primarily caused by Plasmodium falciparum and P. vivax.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Use Mosquito Nets:</b></em> Prevent bites while sleeping.<br>
- <em><b>Prevent Stagnant Water:</b></em> Eliminate mosquito breeding sites.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Ginger Tea:</b></em> Helps combat symptoms like fever and nausea.<br>
- <em><b>Cinnamon:</b></em> Known for its antimicrobial properties.<br>
- <em><b>Lime and Lemon:</b></em> Can help reduce fever.<br>"

chickenpox,en," Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus. It is characterized by itchy, fluid-filled blisters all over the body.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Varicella-Zoster Virus:</b></em> Transmitted through direct contact, droplets, or air.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Vaccination:</b></em> The chickenpox vaccine offers effective protection.<br>
- <em><b>Avoid Contact:</b></em> Stay away from infected individuals.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Oatmeal Baths:</b></em> Relieves itching and soothes the skin.<br>
- <em><b>Calamine Lotion:</b></em> Reduces itching and irritation.<br>
- <em><b>Aloe Vera:</b></em> Soothes skin and promotes healing.<br>"

